component,oxalic acid,lactic acid,Alanine,glycine,alpha-hydroxyisobutyric acid,N-acetylglycine,acetic acid,beta-hydroxyisobutyric acid,Valine,2-aminobutyric acid,Urea,Leucine,Phosphoric acid,glycerin,isoleucine,Proline,Glyceric acid ester,Glyceric acid,isosuccinic acid,Fumarate,Serine,Threonine,Amino malonic acid,Pyroglutamic acid,"2,3,4-trihydroxybutyric acid",citrulline,glutamate,Phenylalanine,ribitol,Lysine,hypoxanthine,Ornithine,Citrate,"1,5-dehydrated sorbitol",fructose,galactose,glucose,Mannose,Tyrosine,allonic acid,alpha-D-galactose pyranose,9-hexadecenoic acid,Palmitic acid,Inositol,Uric Acid,tryptophan,linoleic acid,oleic acid,stearic acid,arachidonic acid,Palmitate glyceride,Glyceryl Monostearate,Cholesterol
n214,6252178,55160030.62,7368431,4417273.5,2808597,2880258.5,1934075.25,2418022,5612982.5,3613476.25,111114.5938,0,4613531.962,2690999.858,2394565.5,4294527.5,3397458.5,1083136.625,1755882.375,2172185.75,3247358.25,3885937,1999992.125,6971994,1734895.5,2102370.5,2347255.5,2603606.25,1773276.625,2515894.75,1485187.25,2671146.75,0,6056187.5,2169531.25,2633082,119304728,21568292,2118084.75,2016998.25,1618724.75,2456847.75,7873460.5,1806242,6084412,6936443.5,0,5662884.5,4756013.5,2855311.5,2563614.5,0,15797817
n216,16481870.33,56269688,6523095.5,4620557.5,2856734.25,2934131.25,2138825.75,2492801,4299914,3508062.75,14853102,2569582,0,5214032.5,2267276.5,3095085.25,1391906.875,3210606.75,1799696.875,2181188.5,3181151.25,3459134.5,1950231.75,5856846,1499376.75,1936331.25,2171657.5,2254574.25,2360779.75,1843118.25,2610915.25,0,2798802.25,5233768.5,2559061.75,2587078,117725104,21752648,1968350.25,2059735,1513791.25,2321694.75,7649761.5,2030519.375,2722944.5,0,5734847.5,5803976.5,4352716.5,2894878.25,2717140.75,0,11717046
n222,15663172,92415416,7537463,5159484,2717611,2894315,2106050.5,1988878,5300852,3540752,18874998,3132537,0,6497731.5,2684247.25,4156099.75,2928233.25,3255218.25,2086320.75,1867979.25,3399571.75,4260333.5,1059853.5,8733752,2118652.75,2524816,2595116,2475067.75,2836214.25,2542590.25,2030880,0,2736470.75,5703848,2380724.25,2392011.5,85931424,14763819,2074186.875,1935927.125,0,2597341.75,9952536,2185697.5,2304152.5,0,7578261,6826029,5902238.5,2237074,2903884.5,1808498.125,13185670
n224,14461136,133909152,8059967,4295666,2723574.5,2844517.75,1642825.375,2017751,4758618,3340823.75,5571702.5,6212636,0,2851957.75,2585183.25,3931951.5,1722155.5,1305760.5,1746631.625,2210442.75,3118843.25,3769318.5,866359.4375,6342795,1746450,2766846,2909584.75,2820362.75,2697147.5,2687991,2258079,0,2950900,4527639,1675206.125,2747920.75,96495536,17381864,2290197.25,2004262.625,0,2591183.75,8093832,2040751,2975758,0,6136585.5,6787840.5,4270441.5,2766542.25,2776798.75,0,10958618
n229,16476883.33,114853032,7594149,5213774,2646768,2864508.75,1900078.875,2085754.375,5221275.5,3451383.5,5810427,0,5508235,4023961,2334512.75,3702057.75,1521455.5,1789831.5,1771945,2202294.25,3869504.5,4139036.25,2045990.25,8328213.5,1654881.875,2532323.5,2672738.75,2826304.5,3444858.75,2425675.5,2412938.25,0,3370065,5567325,1636735.25,2289286,106075240,18916866,2378166.75,2168701.75,2204466.25,2726737.5,8244779.5,1988525.625,3106179.25,0,6842638.5,5864550,4611461,1721262.625,2835094.25,2245089.5,11510579
n263,11587064,67336872,4580170,2939336.25,934050.5,2729577.5,1755809.125,1982137.875,1759231,754504.625,4314529.136,0,2207808.513,4056375.295,2111193.25,2561004.5,2599815.25,1295038.625,2251322.25,2405223.75,2501646.75,3196756,1836270.5,5372564.5,1846237.75,2395342,1641504.75,1966057.375,1387779.25,2488250,1816318.625,0,2593233.75,4059054.25,2557751.75,2455830.75,91501072,16971716,1872548.125,1989174.75,0,2587011,7575260.5,1972478.75,2822324.75,0,5974864,4736437,4617971.5,3139312.25,2335592.75,0,11518243
n267,4829399.5,67198624,4568638,3518059.75,2249316.5,2417018.75,2359419.25,2758908.75,3564807,2837715.75,11957801,2456468.25,3834095.5,0,2119105,2970548,2845833.5,3228877.25,2351794,0,2463317,3226432.5,1838793,6271666,1483783.625,1601138.5,1755466,2074118.125,2376297.5,1666368.625,0,2737625,0,4641755,2121218.5,2211799.25,56292008,9715188,1963450.375,1877212.25,0,2560149,6434077,2546720.5,2191444,4860998,0,5286525.5,3677030.75,2913388.75,2575885.25,0,9885627
n268,17875908.64,59682632,5550889,4638703,2702746,2939243.25,2612339.75,3283957,4672032,3867991.75,6983206.5,2859507.25,6101857.5,0,2271972.25,3082223,1372254.375,2139468.75,1828525.25,1789479.375,3152083,3753880.25,2133879.5,5955529.5,1723404.375,2281928.5,2399972.25,2638430,1763094.25,2248130.75,2644203.75,2891124,0,5076068.5,2156300,2416629.5,85041712,14608962,2290378,1698791,1807623.75,2625882.25,7223933.5,2268686.25,3442772.25,6684167,0,6584806.5,4146666,3221326,1562335.125,0,13506856
n269,11884932,72402432,6185500,3495997.75,2738994,2693397.5,1908114.375,2250872.5,4653728.5,2832699.75,14873182.03,0,7020083,2319492.25,2378448.5,3659169.75,754251.125,101799.7969,2400158.25,2204629,2697292.25,3235240.5,1473985.625,5362493.5,1500863.5,2321292.5,2418420,2222500.75,2189282.25,2292084.5,2406766,0,2385249.5,5934358,1676311.25,2213052.25,77554376,13627166,2112089.5,1806200.25,0,2569285,11324831,1848718.25,4073640.5,0,7418385.433,8621979.996,5117590,2777054.5,2824440.75,0,1456963
n274,14124998,100186624,8277992,4494443,2455352.5,2748390.5,1932653.5,1919047.625,5212414,3300015.25,4680215.5,0,5589612,2183023.25,2500870.5,3389037,3380517,3146897.5,1762481,2530409.75,3099793.25,3649973.5,1428789.375,6174858,1668663.5,2318010.75,2289552,2633187.25,2437756,2303474.5,2610559.25,0,2810295.75,8676791,2596516.75,2322097.25,70272432,12302853,2220562.75,1758116.75,0,2742397.75,6843845.5,1827545.125,4057968,0,4904254.5,4787936,4157894,2834599.25,0,0,4243316
n279,13644351,80541352,6782215,4666893.5,3002938.25,2845416.5,1867492.125,2787980.5,4473487.5,3032708,7634217.5,5222203.5,0,3079129.75,2178368.5,3129780.5,3030795.75,1634926.625,2194454.25,2374793,3618388.25,3630638.75,1841492,8086441,1652391.5,2574673.5,2322242.5,2561135.5,2319855.75,2480864.75,1858471.75,0,2698290.75,7125143,1580313.75,2541810.5,98529416,18058220,2270634.5,2020604.375,0,2614357,8869443,1929920.25,4382713,1419348.5,7131863,7079149,4508399,1721090.125,2560644.25,0,12372635
n31,16199552,87440112,9306026,4726955.5,2735802.75,2892696.75,1923315.5,2151005.75,4998912,3547607,5447544.5,2510952.663,0,2951289.628,2495294,4168300.5,64262.95703,3004712.25,2160028.25,2207102.75,3228257.5,4285437.5,1524320.25,7631014.5,1764572.5,2521925.25,2429093.25,2689023.75,1675214.25,2082362.375,2682825,0,2969195.25,7584177.5,1965347.5,2501818,129455272,23380286,2218567.5,2188955,1393841.125,0,7279437.5,2021018.875,4607518,0,6095653.5,4541075.5,4217691.5,2629828.5,2444788,0,9423957
